task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
210	fb/18d9fc	3460930	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836424)	COMPLETED	0	2023-09-17 22:07:06.974	30.1s	24s	108.8%	742.5 MB	3.8 GB	42.7 MB	3.5 MB
216	bf/d07259	3462122	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836468)	COMPLETED	0	2023-09-17 22:07:25.554	37.3s	31s	104.1%	825 MB	3.9 GB	48.8 MB	7.3 MB
217	96/e68f2c	3463167	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836351)	COMPLETED	0	2023-09-17 22:07:37.117	33.6s	27s	105.5%	779.2 MB	3.8 GB	44 MB	5.4 MB
223	67/f149e2	3465422	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836360)	COMPLETED	0	2023-09-17 22:08:10.761	33.8s	28s	105.2%	769.8 MB	3.8 GB	42.7 MB	5.5 MB
219	47/d07294	3464481	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836494)	COMPLETED	0	2023-09-17 22:08:02.840	1m 10s	1m 3s	102.0%	1 GB	4.1 GB	63.2 MB	20.2 MB
213	10/0e40ac	3469258	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836313)	COMPLETED	0	2023-09-17 22:08:44.536	37.1s	30s	105.3%	819.7 MB	3.8 GB	46.8 MB	6.8 MB
227	c2/ee4866	3470558	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836352)	COMPLETED	0	2023-09-17 22:09:12.537	28.3s	21s	105.3%	703.3 MB	3.8 GB	39.5 MB	2.4 MB
236	15/faaffd	3471564	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836303)	COMPLETED	0	2023-09-17 22:09:21.608	31.4s	25s	106.7%	740.9 MB	3.8 GB	42 MB	4.1 MB
225	b1/141f22	3473042	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836449)	COMPLETED	0	2023-09-17 22:09:40.897	34.8s	29s	105.6%	798.6 MB	3.8 GB	45.8 MB	5.9 MB
226	c5/8aaa64	3475311	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836309)	COMPLETED	0	2023-09-17 22:09:53.083	33.1s	26s	106.8%	749.4 MB	3.8 GB	42 MB	4.5 MB
214	45/350b41	3479064	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836484)	COMPLETED	0	2023-09-17 22:10:15.763	44.8s	38s	103.8%	912.7 MB	3.9 GB	51.7 MB	10.5 MB
231	c2/39f799	3486075	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836448)	COMPLETED	0	2023-09-17 22:11:00.621	32.9s	26s	106.2%	769.3 MB	3.8 GB	43.9 MB	4.9 MB
220	eb/2c5421	3481307	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836489)	COMPLETED	0	2023-09-17 22:10:26.166	1m 17s	1m 10s	102.9%	1.1 GB	4.1 GB	69.5 MB	25.1 MB
229	55/30800c	3489079	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836464)	COMPLETED	0	2023-09-17 22:11:33.562	31.2s	25s	105.7%	756.2 MB	3.8 GB	43.7 MB	3.8 MB
232	c2/077950	3491312	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836341)	COMPLETED	0	2023-09-17 22:12:04.821	23.7s	16s	113.0%	645.4 MB	3.7 GB	35.8 MB	20 KB
222	c9/0a22ad	3489999	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836622)	COMPLETED	0	2023-09-17 22:11:42.784	1m 9s	1m 3s	101.7%	1 GB	4.1 GB	64.9 MB	21.3 MB
230	6b/68523d	3494306	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836298)	COMPLETED	0	2023-09-17 22:12:28.546	38.1s	32s	105.0%	830.3 MB	3.9 GB	48.4 MB	7.8 MB
221	a0/8af812	3498304	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836346)	COMPLETED	0	2023-09-17 22:13:06.702	37.5s	31s	105.3%	816.2 MB	3.8 GB	45 MB	7.5 MB
251	56/cddfd6	3497129	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836620)	COMPLETED	0	2023-09-17 22:12:52.208	1m 15s	1m 9s	102.4%	1.1 GB	4.1 GB	67.6 MB	23.4 MB
235	68/edeb2e	3499769	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836361)	COMPLETED	0	2023-09-17 22:13:44.174	37.9s	32s	104.0%	816.2 MB	3.8 GB	45.1 MB	7.6 MB
233	83/5c3169	3501079	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836438)	COMPLETED	0	2023-09-17 22:14:07.609	37.4s	32s	103.6%	827 MB	3.9 GB	48.6 MB	6.7 MB
239	b9/00f5fe	3503567	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836387)	COMPLETED	0	2023-09-17 22:14:45.076	30.4s	24s	108.8%	732.8 MB	3.8 GB	41.5 MB	3.5 MB
228	ab/82e8dd	3502222	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836487)	COMPLETED	0	2023-09-17 22:14:22.098	1m 5s	58s	103.2%	1 GB	4 GB	62.5 MB	19.5 MB
237	3c/4b323c	3504876	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836406)	COMPLETED	0	2023-09-17 22:15:15.574	39s	30s	104.2%	796.7 MB	3.8 GB	44.1 MB	6.5 MB
234	cb/bd697d	3505979	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836388)	COMPLETED	0	2023-09-17 22:15:27.107	30s	20s	107.7%	660.4 MB	3.8 GB	38.4 MB	1.7 MB
240	e9/1797a7	3507386	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836403)	COMPLETED	0	2023-09-17 22:15:57.090	39.3s	32s	105.9%	822.2 MB	3.9 GB	46 MB	7.8 MB
259	17/81674c	3507318	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836407)	COMPLETED	0	2023-09-17 22:15:54.646	47.6s	37s	105.0%	894.8 MB	3.9 GB	49.7 MB	10.4 MB
241	b0/443ce4	3510365	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836337)	COMPLETED	0	2023-09-17 22:16:42.285	34.5s	28s	103.6%	824.4 MB	3.9 GB	48.6 MB	5.4 MB
238	ca/8051e1	3509702	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836479)	COMPLETED	0	2023-09-17 22:16:36.357	1m 13s	1m 4s	102.0%	1 GB	4.1 GB	65.8 MB	22.5 MB
