sample	DADA2_input	filtered	denoisedF	denoisedR	merged	nonchim
ERR4836450	70333	48192	47563	47530	44867	41802
ERR4836451	21481	14449	14006	14013	13188	12680
ERR4836452	10457	6980	6801	6777	6410	6391
ERR4836453	45261	26209	25698	25651	23550	22991
ERR4836454	39817	28083	27728	27783	26637	25571
ERR4836455	43363	29373	28955	28931	27207	26008
ERR4836456	21834	14437	14180	14163	13175	13175
ERR4836457	33569	22924	22575	22511	21417	20979
ERR4836458	33991	19490	19220	19189	18236	17998
ERR4836459	40371	26787	26405	26333	25472	25002
ERR4836460	22183	14237	14043	14053	13065	12723
ERR4836461	28853	18955	18541	18520	17550	17422
ERR4836462	29554	19052	18786	18820	17903	17490
ERR4836463	32293	22891	22625	22614	21619	21279
ERR4836464	25754	14737	14472	14382	13404	13337
ERR4836465	6188	4127	3959	3941	3681	3650
ERR4836466	31704	21681	21369	21466	20442	19814
ERR4836467	50057	35173	34706	34714	32704	31187
ERR4836468	43665	28451	27928	27929	25770	25248
ERR4836469	37211	24670	24210	24250	23059	22243
ERR4836470	33931	19770	19538	19468	18417	18112
ERR4836471	32030	21516	21144	21173	20105	20051
ERR4836472	127305	107237	105622	105971	99533	90211
ERR4836473	87910	74936	73344	73651	67757	59178
ERR4836474	93039	79164	78281	78417	72833	62879
ERR4836475	173162	145152	144086	144191	134709	121844
ERR4836476	82055	69592	68530	68710	63235	55936
ERR4836477	100394	85274	84092	84188	78061	69519
ERR4836478	105492	89437	88094	88289	80117	71523
ERR4836479	125158	106072	104500	104920	96216	88872
ERR4836480	183206	156146	154248	154725	144249	126555
ERR4836481	101270	83523	82043	82440	77620	69304
ERR4836482	159043	131237	129238	129702	119035	97564
ERR4836483	10842	8828	8520	8495	7686	6996
ERR4836484	63842	47395	46183	46347	43526	40726
ERR4836485	149771	110089	108456	108595	103871	98917
ERR4836486	49852	40695	39481	39688	37265	33637
ERR4836487	109745	90716	88721	89146	82677	71497
ERR4836488	121202	102863	101299	101703	95215	86113
ERR4836489	143333	121256	119477	119827	110378	92770
ERR4836490	169813	136269	134063	134811	124074	111339
ERR4836491	86006	73791	71999	72330	65389	52772
ERR4836492	186377	156070	154429	154655	143949	126928
ERR4836493	127553	103548	101857	102123	93402	70657
ERR4836494	118047	99379	97790	98356	91097	77331
ERR4836495	61816	52135	51014	51316	47600	36886
ERR4836496	87446	73341	71899	72253	66391	61116
ERR4836497	87465	74270	72521	73106	66116	54647
ERR4836498	93544	78832	77272	77660	71089	59362
ERR4836499	67629	58256	56786	57016	51263	40796
ERR4836500	126007	105867	103938	104194	95800	79093
ERR4836501	167289	137689	135934	136397	126693	111667
ERR4836502	135679	116391	114814	115221	106491	88496
ERR4836503	115726	98935	97170	97691	90169	72928
ERR4836504	138233	117074	115796	115841	108437	97450
ERR4836505	217827	184934	183299	183414	171680	156054
ERR4836617	136822	114934	114125	114253	106269	96400
ERR4836618	123553	102456	101381	101615	94112	84182
ERR4836619	117422	96963	95671	95969	88531	81910
ERR4836620	134878	112859	111403	111960	103366	94560
ERR4836621	60379	49077	47813	48037	43815	35693
ERR4836622	121962	101588	99722	100272	92210	73305
ERR4836623	46700	28154	27774	27789	26169	25696
ERR4843941	36579	26976	26399	26435	24734	23502
ERR4843942	3370	2434	2336	2336	2237	2235
